,微博数,关注数,粉丝数,introduction,是否认证,点赞数,评论数,是否包含特殊符号,sentiment,negative_prob,abnormal
1436,15162,77,304000,1,1,130,16,0,-0.990046,0.995521,0
1437,60727,323,1074000,0,1,40,9,0,0.94907,0.0229187,0
1438,158098,2993,109000000,1,1,52,3,0,0.83334,0.0749969,0
1439,846,357,317,1,0,0,0,0,0.998627,0.000617785,0
1440,4238,54,235,1,0,0,0,0,0.985662,0.0064523,0
1441,9110,248,126000,1,1,10,4,1,-0.994429,0.997493,0
1442,113,182,73,1,0,0,0,0,0.0,0.375409,0
1443,229,278,248,1,0,0,0,0,0.0,0.379281,0
1444,24863,464,2004,1,1,6,10,0,-0.942944,0.974325,0
1445,3815,211,8572,1,0,2,0,0,0.236015,0.343793,0
1446,1000,239,148,1,0,1,1,0,-0.943856,0.974735,0
1447,1,45,4,0,0,8,2,1,-0.999945,0.999975,0
1448,99,124,100,0,0,0,1,0,0.988731,0.00507122,0
1449,3037,123,6948,1,1,0,0,0,0.967766,0.0145051,0
1450,3594,170,41000,1,1,11,7,1,0.951465,0.0218408,0
1451,4681,140,399,1,0,0,0,0,0.994966,0.00226536,0
1452,727,365,25000,1,1,5,8,1,0.998056,0.000874814,0
1453,70,3,1,1,0,0,0,0,0.61977,0.171103,0
1454,178283,1267,18931000,1,1,205,64,1,-0.968219,0.985699,0
1455,165520,6330,685000,1,1,2,0,1,0.0,0.443484,0
1456,248133,1758,104000000,1,1,69,29,1,0.804237,0.0880932,0
1457,423,96,779,1,0,0,0,0,-0.694864,0.862689,0
1458,790,365,15,1,0,0,0,0,-0.377215,0.719747,0
1459,8902,108,490000,1,1,1,1,1,0.974177,0.0116204,0
1460,858,446,218,1,0,0,0,0,-0.999301,0.999685,0
1461,983,66,55,1,0,0,0,0,0.998062,0.000871973,0
1462,181,105,727,0,0,0,0,0,-0.659182,0.846632,0
1463,23857,242,36000,1,1,2,1,0,0.705499,0.132526,0
1464,82197,16622,56000,1,0,1,2,1,0.996349,0.00164319,0
1465,32255,452,450000,1,1,5,3,1,-0.921598,0.964719,0
1466,13191,1968,15000,1,1,381,55,0,-0.898924,0.954516,0
1467,6666,308,5106,1,0,9,4,0,0.863329,0.0615019,0
1468,1179,181,307,1,0,7,15,1,-0.998548,0.999347,0
1469,1161,161,128000,1,1,119,5,0,-0.981071,0.991482,0
1470,9467,247,2820,1,1,210,21,0,0.345698,0.294436,0
1471,219,178,704,1,0,0,0,0,-0.98129,0.991581,0
1472,88112,88,236000,1,1,1,0,1,-0.767858,0.895536,0
1473,448,66,70000,1,0,9,8,0,0.993723,0.00282475,0
1474,1510,107,6479,1,0,1,0,1,0.0,0.385915,0
1475,123,59,283,1,0,0,0,1,0.941517,0.0263175,0
1476,1500,565,279,1,0,0,0,1,-0.998555,0.99935,0
1477,7,45,1,1,0,21,1,1,-0.656693,0.845512,0
1478,5959,92,3609,1,1,2,0,0,-0.964982,0.984242,0
1479,195562,116,956000,1,1,0,0,1,0.686357,0.141139,0
1480,456,71,44,1,0,0,0,1,-0.358691,0.711411,0
1481,814,765,64,1,0,0,0,0,0.60252,0.178866,0
1482,6268,449,641,1,0,0,0,0,0.200617,0.359722,0
1483,7,222,12,1,0,0,0,0,-0.994132,0.99736,0
1484,5321,231,177000,1,1,0,0,0,-0.951028,0.977962,0
1485,582,421,296,1,0,2,2,1,0.0,0.366934,0
1486,2779,417,368,1,0,0,0,0,0.536661,0.208503,0
1487,296,99,592,1,0,0,0,0,-0.910878,0.959895,0
1488,2444,125,470000,1,1,260,48,0,0.921037,0.0355332,0
1489,61581,148,1301000,1,1,1,0,1,0.0,0.571878,0
1490,51228,1885,1313000,1,1,67,35,1,0.99969,0.000139449,0
1491,117138,478,5132000,1,1,59,3,1,0.606209,0.177206,0
1492,20066,62,246000,1,1,316,34,0,0.952688,0.0212903,0
1493,117460,712,30929000,1,1,87,16,1,0.96733,0.0147016,0
1494,173993,2972,3889000,1,1,203,49,1,-0.990819,0.995869,0
1495,31219,151,793000,1,1,7,2,1,0.0,0.538997,0
1496,20199,727,12000,1,1,20,14,0,0.999831,7.60888e-05,0
1497,28467,460,7329000,1,1,9,21,1,-0.523995,0.785798,0
1498,82609,136,6020000,1,1,8,0,1,0.778858,0.0995137,0
1499,94796,1629,1024000,1,1,428,2,1,-0.97601,0.989204,0
1500,25770,564,13000,1,1,21,0,0,-0.280479,0.676215,0
1501,104355,816,1601000,1,1,71,31,1,0.0,0.541902,0
1502,13708,687,74000,1,1,0,0,1,0.961035,0.0175341,0
1503,1169,430,1306,1,0,3,1,0,0.99969,0.000139402,0
1504,173,39,51,1,0,1,0,0,0.910971,0.0400632,0
1505,690,191,135,1,0,0,0,0,-0.983158,0.992421,0
1506,1667,323,553,0,0,0,0,1,0.893218,0.0480519,0
1507,65,67,19,0,0,0,3,0,0.904182,0.0431179,0
1508,1790,112,3,0,0,1,0,0,0.999592,0.00018385,0
1509,372,168,3,1,0,0,2,0,0.68576,0.141408,0
