微博数,关注数,粉丝数,introduction,是否认证,点赞数,评论数,是否包含特殊符号,positive_prob,sentiment,confidence,negative_prob,abnormal
2434,441,184,1,0,0,0,1,0.995903,2,0.990897,0.0040965,0
478,934,659,1,0,2,0,0,0.162386,0,0.639143,0.837614,0
4742,272,89000,1,1,263,51,1,0.110484,0,0.754479,0.889516,0
1677,795,43000,1,1,131,17,1,0.839789,2,0.643976,0.160211,0
14907,100,6863,0,1,65,2,0,0.670706,2,0.268235,0.329294,0
3071,1031,33000,1,0,85,95,1,0.000322203,0,0.999284,0.999678,0
9449,602,150000,1,1,362,58,1,0.532355,1,0.352895,0.467645,0
9491,267,201000,1,1,187,4,1,0.998224,2,0.996054,0.00177575,0
17945,375,8826,1,1,6,0,1,0.997993,2,0.99554,0.00200717,0
398,531,5046,1,0,7,0,0,0.995162,2,0.989248,0.00483834,0
6643,812,293,1,0,5,0,1,0.855571,2,0.679047,0.144429,0
11708,322,147000,1,1,4,0,1,0.523605,1,0.527906,0.476395,0
4270,164,205,1,0,5,0,1,0.000392764,0,0.999127,0.999607,0
9752,4071,13000,1,1,10,1,0,0.977272,2,0.949493,0.0227284,0
74194,7689,307000,1,1,0,0,1,0.801858,2,0.559686,0.198142,0
1170,430,1306,1,0,3,1,0,0.999861,2,0.99969,0.000139402,0
10517,437,67000,1,1,49,7,1,0.921047,2,0.824548,0.0789532,0
4167,1088,12000,1,1,8,1,1,0.00414552,0,0.990788,0.995854,0
89013,1702,2685000,1,1,19,4,0,0.964267,2,0.920593,0.0357331,0
67,242,14000,1,0,31,12,1,0.812655,2,0.583677,0.187345,0
2093,26,163000,1,1,85,3,1,0.0161575,0,0.964094,0.983842,0
26661,617,898000,1,1,441,89,1,0.588824,2,0.0862748,0.411176,0
10517,437,67000,1,1,17,3,1,0.447349,0,0.00589026,0.552651,0
25771,564,13000,1,1,21,0,0,0.323785,0,0.280478,0.676215,0
9420,1515,189000,1,1,27,10,1,0.180975,0,0.597834,0.819025,0
4804,5919,24000,1,1,284,251,1,0.116008,0,0.742204,0.883992,0
81843,1352,1057000,1,1,29,23,1,0.129689,0,0.711803,0.870311,0
10957,886,12000,1,1,64,14,1,0.000936206,0,0.99792,0.999064,0
279,122,118,0,0,22,0,1,0.00686693,0,0.98474,0.993133,0
97214,1012,17000,1,1,11,3,1,0.163023,0,0.637727,0.836977,0
13589,221,52000,1,1,18,1,0,0.0972534,0,0.783881,0.902747,0
309852,839,48101000,1,1,9,4,1,0.142939,0,0.682359,0.857061,0
6657,2050,148000,1,1,8,3,1,0.82812,2,0.618044,0.17188,0
26401,305,1994000,1,1,2371,113,1,0.688476,2,0.307725,0.311524,0
24119,1045,1161000,1,1,84,26,1,0.853519,2,0.674488,0.146481,0
95779,1301,2110000,1,1,0,0,1,0.0206173,0,0.954184,0.979383,0
44317,965,1511000,1,1,228,3,0,0.98665,2,0.970334,0.0133496,0
18538,901,5828000,1,1,104,28,1,0.451578,1,0.0315523,0.548422,0
82945,218,7859000,0,1,40,17,1,0.363838,0,0.191471,0.636162,0
136411,703,3887000,1,1,0,0,1,0.987759,2,0.972797,0.0122414,0
36021,458,1571000,1,1,34,9,1,0.931327,2,0.847393,0.0686731,0
248132,1758,104000000,1,1,42,20,1,0.861977,2,0.693282,0.138023,0
118159,574,2907000,1,1,5,3,1,0.831733,2,0.626073,0.168267,0
5267,103,1837000,1,1,48,6,0,0.937688,2,0.861529,0.0623121,0
82611,136,6020000,1,1,24,0,1,0.971507,2,0.936682,0.0284932,0
132539,655,2421000,1,1,84,21,0,0.972064,2,0.93792,0.0279358,0
1093,103,1627,1,0,89,35,1,0.000341295,0,0.999242,0.999659,0
71279,1185,4056000,1,1,20,3,0,0.729834,2,0.399632,0.270165,0
178283,1267,18931000,1,1,133,52,1,0.649023,2,0.22005,0.350977,0
43676,869,1007000,1,1,35,7,1,0.000797443,0,0.998228,0.999203,0
42283,766,1205000,1,1,279,29,1,0.359314,0,0.201524,0.640686,0
49392,348,384000,1,1,69,29,1,0.22483,0,0.500378,0.77517,0
48515,925,21166000,1,1,78,17,1,0.715111,2,0.366914,0.284889,0
874,3680,23000,1,1,59,34,1,0.986449,2,0.969887,0.013551,0
43182,498,1683,1,1,2,1,1,0.662507,2,0.250015,0.337493,0
19995,1112,59000,1,1,39,2,1,0.00168421,0,0.996257,0.998316,0
44068,1006,2511000,1,1,16,2,1,0.988596,2,0.974658,0.0114039,0
23009,392,250000,1,1,13,0,1,0.00167532,0,0.996277,0.998325,0
256,247,714,1,0,6,3,0,0.999681,2,0.999291,0.000318957,0
6642,474,119000,1,1,35,16,1,0.502972,1,0.940563,0.497028,0
1186,759,296,1,0,43,10,0,0.971509,2,0.936687,0.0284908,0
9286,455,153,1,0,95,12,0,0.194047,0,0.568785,0.805953,0
8016,214,4912,1,0,49,3,0,0.597716,2,0.106035,0.402284,0
11850,314,606000,1,0,35,13,1,0.0443417,0,0.901463,0.955658,0
264,144,37,1,0,22,6,0,0.616594,2,0.147988,0.383405,0
409,708,278,1,0,2,2,1,0.000145004,0,0.999678,0.999855,0
10230,587,76000,1,0,174,39,1,0.000532722,0,0.998816,0.999467,0
336,404,1309,1,1,7,0,0,0.339065,0,0.246523,0.660935,0
5648,273,121000,1,0,21,21,0,0.013781,0,0.969375,0.986219,0
5810,935,32000,1,1,7,2,0,0.983873,2,0.964162,0.0161271,0
50240,1680,717000,1,1,16,22,0,0.916847,2,0.815215,0.0831531,0
13181,2716,1001000,1,1,9,1,1,0.0250872,0,0.944251,0.974913,0
385,10,2821,1,0,44,8,0,0.0813772,0,0.819162,0.918623,0
120,110,152,0,0,3,2,0,0.993966,2,0.986592,0.00603379,0
11776,146,513000,1,1,2,0,1,0.998972,2,0.997716,0.00102758,0
98720,656,2434000,0,1,10,1,0,0.0253036,0,0.94377,0.974696,0
3246,121,5922,1,0,10,6,1,0.982985,2,0.96219,0.0170146,0
6133,554,94000,1,0,4,1,0,0.134762,0,0.700528,0.865238,0
11776,146,513000,1,1,4,2,1,0.542051,1,0.158986,0.457949,0
23576,1644,462000,1,1,5,0,1,0.713971,2,0.364381,0.286029,0
2751,454,125,0,0,0,0,0,0.564947,2,0.0332158,0.435053,0
10388,7,305000,0,1,209,0,1,0.961448,2,0.914329,0.0385519,0
137,131,149,1,0,2,0,0,0.996974,2,0.993275,0.00302602,0
83,156,19,0,0,0,0,1,0.019304,0,0.957102,0.980696,0
159,344,29,1,0,0,0,0,0.431493,0,0.0411257,0.568507,0
7147,541,7686,1,1,0,0,1,0.998898,2,0.997552,0.00110162,0
3342,420,59,1,0,0,0,1,2.2043E-06,0,0.999995,0.999998,0
8645,781,60000,1,1,2,0,0,0.195998,0,0.564448,0.804002,0
4304,904,817,1,0,0,1,1,0.998335,2,0.996301,0.00166467,0
1282,287,654,1,0,1,4,1,0.996827,2,0.992949,0.00317299,0
68570,623,2032000,1,1,82,29,1,0.838515,2,0.641144,0.161485,0
663,60,137000,1,1,22527,4280,1,0.581854,2,0.070787,0.418146,0
248133,1758,104000000,1,1,75,43,1,0.606543,2,0.125651,0.393457,0
27137,105,4180000,1,1,906,234,1,0.866067,2,0.702372,0.133933,0
45771,2239,268000,1,1,1274,90,1,0.373737,0,0.169474,0.626263,0
23478,357,211000,1,1,37,5,0,0.997484,2,0.994408,0.0025165,0
43935,251,160000,1,1,223,13,1,0.00336349,0,0.992526,0.996637,0
248132,1758,104000000,1,1,78,26,1,0.498335,1,0.966702,0.501665,0
173991,2972,3889000,1,1,203,49,1,0.00413146,0,0.990819,0.995869,0
114224,1998,90312000,1,1,3015,99,1,0.999688,2,0.999306,0.000312275,0
31183,329,9239000,1,1,2338,276,1,0.955036,2,0.90008,0.044964,0
2,14,1,0,0,35,3,1,9.25395E-05,0,0.999794,0.999907,0
35828,172,5029,1,0,23,0,1,0.719763,2,0.377252,0.280237,0
43537,2133,33000,1,1,3,0,0,0.0120588,0,0.973203,0.987941,0
1078,421,132,1,0,0,1,0,0.99873,2,0.997177,0.00127016,0
475,267,315,1,0,0,0,0,0.964335,2,0.920744,0.0356649,0
176,207,1286,1,0,0,0,1,0.916686,2,0.814858,0.0833139,0
43542,2133,33000,1,1,0,0,1,0.938923,2,0.864274,0.0610768,0
23798,1202,152,1,0,2,0,0,0.000429176,0,0.999046,0.999571,0
52594,10173,479000,0,1,3,0,1,0.860269,2,0.689487,0.139731,0
85,38,21,1,0,0,0,1,0.934035,2,0.85341,0.0659654,0
13181,404,153000,1,1,40,8,1,0.0137908,0,0.969354,0.986209,0
180158,884,25164000,1,1,95,27,1,0.989608,2,0.976908,0.0103915,0
43167,659,1132000,1,1,47,23,0,0.980258,2,0.956129,0.0197422,0
1325,64,2424000,1,1,475,40,0,0.0997335,0,0.77837,0.900266,0
71666,402,606000,1,1,73,49,1,0.984197,2,0.964883,0.0158027,0
70207,371,3508000,1,1,41,7,1,0.978937,2,0.953194,0.0210629,0
3010,66,112000,0,1,35,4,1,0.445981,0,0.00893143,0.554019,0
158154,3906,19103000,0,1,34,6,1,0.976726,2,0.948279,0.0232743,0
29020,191,625000,1,1,30,4,1,0.0225942,0,0.949791,0.977406,0
715,377,916000,1,1,437,34,0,0.75923,2,0.464956,0.24077,0
16107,235,17121000,1,1,16,8,1,0.0898241,0,0.800391,0.910176,0
28467,460,7329000,1,1,63,17,1,0.00227419,0,0.994946,0.997726,0
127342,2699,20207000,1,1,20,10,1,0.000221813,0,0.999507,0.999778,0
25634,376,428000,1,1,37,3,0,0.154901,0,0.655775,0.845099,0
