序号,房屋所属市辖区,房屋地址（街道）,房屋户型,所在楼层,建筑面积（平方米）,户型结构,建筑类型,房屋朝向,建筑结构,装修情况,配备电梯,挂牌时间,交易权属,房屋用途,单价（元/平方米）
7372,金牛,高家庄,3室2厅1厨2卫,高楼层 (共19层),121.35,平层,板塔结合,西南,钢混结构,精装,有,44467,商品房,普通住宅,16550
7373,金牛,国宾,2室2厅1厨1卫,中楼层 (共7层),95.07,平层,板楼,南,钢混结构,简装,有,2021/9/8,商品房,普通住宅,7800
7374,金牛,抚琴小区,3室1厅1厨1卫,高楼层 (共7层),69.04,平层,板楼,东北,砖混结构,精装,无,2021/7/3,已购公房,普通住宅,7000
7375,金牛,西南交大,3室1厅1厨2卫,中楼层 (共6层),110.44,平层,板楼,南,砖混结构,精装,无,44502,商品房,普通住宅,14250
7376,金牛,花照壁,3室2厅1厨2卫,低楼层 (共32层),113.47,平层,塔楼,西,钢混结构,精装,有,44419,商品房,普通住宅,13500
7377,金牛,西南交大,3室2厅1厨1卫,高楼层 (共7层),103.66,平层,板楼,东南,混合结构,精装,无,44409,商品房,普通住宅,10990
7378,金牛,通惠门,3室1厅1厨1卫,中楼层 (共7层),65.83,平层,板楼,南,砖混结构,简装,无,2020/7/18,商品房,普通住宅,7200
7379,金牛,石人小区,3室1厅1厨1卫,中楼层 (共7层),71.78,平层,板楼,东南,砖混结构,毛坯,无,2020/11/14,商品房,普通住宅,6400
7380,金牛,石人小区,3室1厅1厨1卫,低楼层 (共6层),83.48,平层,板楼,南,混合结构,简装,无,2021/7/5,商品房,普通住宅,9200
7381,金牛,五块石,3室2厅1厨1卫,中楼层 (共22层),101.72,平层,板楼,西北,框架结构,简装,有,44441,商品房,普通住宅,13800
7382,金牛,金牛万达,3室1厅1厨1卫,中楼层 (共18层),83.97,平层,塔楼,东,框架结构,简装,有,2021/9/16,商品房,普通住宅,9200
7383,金牛,茶店子,3室1厅1厨2卫,低楼层 (共33层),102.42,平层,板塔结合,南 北,钢混结构,精装,有,44369,商品房,普通住宅,26500
7384,金牛,五块石,3室2厅1厨1卫,中楼层 (共23层),89.99,平层,板塔结合,东南,框架结构,简装,有,44156,商品房,普通住宅,13400
7385,金牛,茶店子,3室2厅1厨2卫,中楼层 (共18层),127.04,平层,平房,西北,框架结构,精装,有,44262,商品房,普通住宅,16600
7386,金牛,花牌坊,3室1厅1厨1卫,低楼层 (共7层),75.06,平层,板楼,东北,混合结构,简装,无,44510,商品房,普通住宅,10500
7387,金牛,五块石,1室1厅1厨1卫,低楼层 (共21层),48.25,平层,板塔结合,东北,框架结构,简装,有,2021/10/14,商品房,普通住宅,6980
7388,金牛,抚琴小区,3室1厅1厨1卫,高楼层 (共6层),82.95,平层,板楼,南,砖混结构,毛坯,无,2021/10/27,已购公房,普通住宅,9500
7389,金牛,五块石,3室2厅1厨1卫,低楼层 (共11层),94.39,平层,板塔结合,西,钢混结构,简装,有,44320,商品房,普通住宅,12500
7390,金牛,抚琴小区,3室1厅1厨1卫,低楼层 (共6层),93.0,平层,板楼,东南,砖混结构,简装,无,44415,商品房,普通住宅,11600
7391,金牛,华侨城,3室2厅1厨1卫,低楼层 (共16层),68.34,平层,板塔结合,南,框架结构,精装,有,44515,商品房,普通住宅,10260
7392,金牛,高家庄,3室2厅1厨1卫,中楼层 (共6层),89.89,平层,板楼,东南,钢混结构,简装,无,2021/6/19,商品房,普通住宅,9300
7393,金牛,五块石,3室2厅1厨2卫,低楼层 (共18层),121.15,平层,板楼,北,钢混结构,精装,有,44394,商品房,普通住宅,15600
7394,金牛,蜀汉路,4室2厅1厨3卫,高楼层 (共5层),174.35,错层,板楼,东南,混合结构,毛坯,无,44335,商品房,普通住宅,26500
7395,金牛,五块石,3室2厅1厨2卫,中楼层 (共18层),115.08,平层,塔楼,南 北,钢混结构,精装,有,44489,商品房,普通住宅,14800
7396,金牛,营门口,3室1厅1厨2卫,高楼层 (共32层),149.85,平层,塔楼,东南,框架结构,精装,有,44467,商品房,普通住宅,31500
7397,金牛,金牛万达,3室2厅1厨1卫,高楼层 (共32层),80.73,平层,塔楼,东南,钢混结构,精装,有,44453,商品房,普通住宅,14700
7398,金牛,五块石,3室2厅1厨2卫,中楼层 (共18层),101.16,平层,板楼,北,框架结构,精装,有,44491,商品房,普通住宅,14800
7399,金牛,沙湾,3室2厅1厨2卫,高楼层 (共7层),124.6,平层,板楼,南,混合结构,精装,无,44412,商品房,普通住宅,14600
7400,金牛,五块石,3室2厅1厨1卫,中楼层 (共20层),86.54,平层,板塔结合,南 北,框架结构,精装,有,44404,商品房,普通住宅,15600
7401,金牛,金牛万达,3室1厅1厨1卫,高楼层 (共32层),93.65,平层,塔楼,西,钢混结构,毛坯,有,44482,商品房,普通住宅,17800
