,类别,行政区,点评数,口味,环境,服务,人均消费
5615,快餐,K,33.0,7.4,6.7,7.0,26.0
5618,甜点,K,37.0,8.2,8.0,8.3,15.0
5620,甜点,K,79.0,7.4,7.4,7.3,30.0
5622,美食,K,11.0,7.4,7.2,7.2,38.0
5624,快餐,K,275.0,7.6,7.5,7.3,29.0
5625,浙菜,K,84.0,8.9,8.4,8.5,114.0
5628,北菜,K,16.0,6.3,6.6,6.4,80.0
5631,火锅,K,70.0,7.1,6.9,7.2,81.0
5632,龙虾,K,101.0,7.1,6.8,7.1,112.0
5634,素菜,K,22.0,7.0,6.9,6.9,40.0
5636,州菜,K,54.0,7.2,7.0,7.2,44.0
5637,北菜,K,15.0,7.9,8.0,7.9,20.0
5638,本菜,K,80.0,8.5,8.2,8.6,68.0
5640,甜点,K,1098.0,7.8,7.8,8.1,43.0
5641,浙菜,K,901.0,8.3,8.1,8.0,65.0
5642,浙菜,K,279.0,7.4,7.2,7.1,81.0
5646,火锅,K,380.0,7.8,8.3,8.0,109.0
5648,火锅,K,209.0,7.8,7.7,7.8,126.0
5651,甜点,K,66.0,7.4,7.4,7.2,87.0
5654,本菜,K,49.0,8.0,7.7,7.9,58.0
5656,甜点,K,826.0,8.6,8.1,7.5,34.0
5657,西餐,J,107.0,8.0,8.1,7.6,90.0
5660,甜点,K,106.0,8.1,7.9,8.1,19.0
5661,浙菜,K,339.0,8.9,9.2,8.5,93.0
5662,龙虾,K,62.0,7.2,7.4,7.2,102.0
5664,浙菜,K,383.0,8.9,6.2,6.9,43.0
5665,火锅,K,17.0,7.2,6.7,7.0,14.0
5670,美食,K,76.0,7.9,7.7,7.9,20.0
5671,快餐,K,2293.0,7.9,7.3,7.0,30.0
5675,北菜,K,42.0,7.1,7.2,7.2,51.0
5676,火锅,K,381.0,7.6,7.6,7.9,80.0
5677,料理,K,982.0,8.3,8.3,8.5,90.0
5680,烧烤,K,7.0,7.2,6.8,7.2,20.0
5681,甜点,K,265.0,7.6,7.6,7.4,31.0
5682,甜点,K,63.0,7.8,7.5,7.6,58.0
5684,甜点,K,1058.0,7.7,7.5,7.3,82.0
5687,快餐,K,36.0,7.2,6.8,7.1,13.0
5688,浙菜,K,35.0,7.2,7.3,7.2,95.0
5691,快餐,K,3096.0,8.2,8.7,8.6,47.0
5692,快餐,K,132.0,7.4,7.6,7.4,29.0
5695,甜点,K,1287.0,8.2,8.2,7.9,22.0
5696,浙菜,K,1374.0,7.7,7.6,7.6,121.0
5698,快餐,K,56.0,6.8,7.1,6.9,28.0
5699,甜点,K,67.0,8.4,8.6,8.7,25.0
5701,快餐,K,9.0,7.3,7.3,7.3,15.0
5702,快餐,K,249.0,7.9,7.9,7.8,10.0
5703,浙菜,K,2658.0,7.9,8.0,7.7,222.0
5704,粤菜,K,9230.0,8.5,8.2,8.2,169.0
5706,快餐,K,44.0,7.0,7.2,6.8,38.0
5707,本菜,K,867.0,7.7,7.8,7.6,50.0
5709,西餐,K,2529.0,7.9,8.2,7.6,33.0
5710,甜点,K,440.0,8.4,7.9,8.0,37.0
5715,湘菜,K,56.0,7.0,6.9,6.9,50.0
5718,快餐,K,352.0,7.8,7.9,7.8,35.0
5721,本菜,K,23.0,6.8,6.7,6.7,21.0
5722,浙菜,K,372.0,6.6,5.4,5.5,34.0
5725,甜点,K,1526.0,7.8,7.5,7.4,34.0
5729,甜点,K,25.0,7.5,7.2,7.5,27.0
5730,西餐,K,2445.0,7.5,7.6,7.4,65.0
5731,甜点,K,1857.0,8.2,8.7,8.5,36.0
5732,甜点,K,125.0,7.8,8.2,7.8,17.0
5733,甜点,K,1437.0,8.4,8.5,8.3,30.0
5734,甜点,K,282.0,7.9,8.1,8.1,20.0
5735,疆菜,K,1953.0,8.3,8.6,8.4,91.0
5739,甜点,K,104.0,7.4,7.4,7.2,10.0
5741,快餐,K,92.0,8.0,8.0,7.7,36.0
5742,本菜,K,1084.0,8.3,8.5,8.3,53.0
5743,西餐,K,189.0,7.9,7.8,7.5,42.0
5746,快餐,K,86.0,8.0,7.7,8.2,18.0
5747,快餐,K,1.0,7.2,7.2,7.2,17.0
5748,快餐,K,5.0,7.3,7.3,7.3,17.0
5749,湾菜,K,3578.0,7.5,7.7,7.4,85.0
5750,湾菜,K,1076.0,8.0,8.3,8.4,107.0
5752,火锅,K,3427.0,8.8,8.8,8.6,137.0
